Name of the college,Stream,Candidates Registerd,Candidates Appeared,Distin-ction,Grade I,Grade II,Pass Grade,Total Pass,Pass Percent,Year
"RISE-PISE SEC.& HIGHER SEC. SCHOOL, RISE, PURANDAR",ARTS,30,30,2,8,20,0,30,100.0,2021
"SHREE SHIVAJI ENG.MEDIUM.SCHL.& JR COL.SASWAD,PUNE",SCIENCE,57,57,38,18,1,0,57,100.0,2021
"SMT.JANABAI K. OVHAL JR.COL, HIVARE, TQ-PURANDAR.",ARTS,24,24,0,2,22,0,24,100.0,2021
"SMT.JANABAI K. OVHAL JR.COL, HIVARE, TQ-PURANDAR.",COMMERCE,41,41,1,19,21,0,41,100.0,2021
MJPV AND SMK JR COL A/P SHIVARI TAL PURANDHAR,SCIENCE,26,26,8,18,0,0,26,100.0,2021
L R SHAHKANYA VIDYA MANDIR NIRA,SCIENCE,12,12,2,10,0,0,12,100.0,2021
WAGHIRE MAHAVIDY SASWAD,HSC.VOC,77,77,27,47,3,0,77,100.0,2021
PURANDAR H SCH AND JR.COL,HSC.VOC,86,86,6,51,25,4,86,100.0,2021
PANCHKROSHI SHETKARI TECHNICAL VIDY AND VYAVS,HSC.VOC,51,51,6,40,5,0,51,100.0,2021
JIJAMATA H SCH AND JR.COL,HSC.VOC,17,17,6,11,0,0,17,100.0,2021
"KARMAVEER BABURAO PATIL JUNIOR COLLEGE, PARINCHE",SCIENCE,30,30,1,25,4,0,30,100.0,2022
"KARMAVEER BABURAO PATIL JUNIOR COLLEGE, PARINCHE",ARTS,28,28,0,7,19,1,27,96.42,2022
"KARMAVEER BABURAO PATIL JUNIOR COLLEGE, PARINCHE",COMMERCE,26,25,0,10,15,0,25,100.0,2022
"WAGHIRE COLLEGE OF ARTS,COME & SCIENCE, SASWAD",SCIENCE,278,276,1,37,198,30,266,96.37,2022
"WAGHIRE COLLEGE OF ARTS,COME & SCIENCE, SASWAD",ARTS,127,124,2,12,53,18,85,68.54,2022
"WAGHIRE COLLEGE OF ARTS,COME & SCIENCE, SASWAD",COMMERCE,218,218,4,25,145,21,195,89.44,2022
"KILACHAND JUNIOR COLLEGE, NIRA, TQ.PURANDAR, PUNE",SCIENCE,133,133,0,18,84,27,129,96.99,2022
"KILACHAND JUNIOR COLLEGE, NIRA, TQ.PURANDAR, PUNE",ARTS,78,77,1,6,44,6,57,74.02,2022
"MAHARSHI WALMIKI JUINOR COLLEGE,WAHLE,TQ.PURANDAR",SCIENCE,11,11,0,0,11,0,11,100.0,2022
"MAHARSHI WALMIKI JUINOR COLLEGE,WAHLE,TQ.PURANDAR",ARTS,20,20,0,7,11,1,19,95.0,2022
"MAHARSHI WALMIKI JUINOR COLLEGE,WAHLE,TQ.PURANDAR",COMMERCE,63,63,5,22,31,3,61,96.82,2022
"PURANDAR JR.COLLEGE OF ARTS,SCIENCE,COMM, SASWAD",SCIENCE,232,232,2,42,182,6,232,100.0,2022
"PURANDAR JR.COLLEGE OF ARTS,SCIENCE,COMM, SASWAD",ARTS,163,160,5,28,81,7,121,75.62,2022
"PURANDAR JR.COLLEGE OF ARTS,SCIENCE,COMM, SASWAD",COMMERCE,173,171,11,66,90,2,169,98.83,2022
"ABDULBHAI CHANDBHAI HUNDEKARI JR.COLLEGE, JEJURI",SCIENCE,52,52,2,26,23,0,51,98.07,2022
"ABDULBHAI CHANDBHAI HUNDEKARI JR.COLLEGE, JEJURI",ARTS,37,37,1,4,31,1,37,100.0,2022
"ABDULBHAI CHANDBHAI HUNDEKARI JR.COLLEGE, JEJURI",COMMERCE,50,49,2,15,32,0,49,100.0,2022
"DR.SHANKARRAO KOLATE VIDYALAYA &JR.COLLEGE,PISARVE",SCIENCE,35,35,6,26,3,0,35,100.0,2022
"DR.SHANKARRAO KOLATE VIDYALAYA &JR.COLLEGE,PISARVE",ARTS,17,17,3,8,3,0,14,82.35,2022
"M.E.S.WAGHIRE HIGH SCHOOL & JR.COLLEGE, SASWAD",SCIENCE,24,24,4,16,4,0,24,100.0,2022
"M.E.S.WAGHIRE HIGH SCHOOL & JR.COLLEGE, SASWAD",ARTS,18,18,1,10,6,0,17,94.44,2022
"SHRI.KEDARESHWAR VIDHYALAYA & JR.COLLEGE, KALDAREE",ARTS,21,21,15,6,0,0,21,100.0,2022
"JIJAMATA VIDHYALAYA, JEJURI TAL-PURANDAR DT PUNE",SCIENCE,123,123,2,29,91,1,123,100.0,2022
"JIJAMATA VIDHYALAYA, JEJURI TAL-PURANDAR DT PUNE",ARTS,64,64,0,19,45,0,64,100.0,2022
